;empresa_nome;receita_milhao;cidade;uf;empresa_href;descricao;industria
887;Delim Industria E Comercio Ltda;0.43;Alegre;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.delim_industria_e_comercio_ltda.e5f192a78c92339b456e73d45c89c195.html;DELIM INDUSTRIA E COMERCIO LTDA is located in ALEGRE, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
888;Romap Industria E Comercio De Cafe Eireli;0.43;Queimados;Rio De Janeiro;https://www.dnb.com/business-directory/company-profiles.romap_industria_e_comercio_de_cafe_eireli.f6c0d7cdc657067f677602fd6e3dd38f.html;ROMAP INDUSTRIA E COMERCIO DE CAFE EIRELI is located in QUEIMADOS, RIO DE JANEIRO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
889;Roaster Industria E Comercio De Cafe Ltda;0.43;Teresopolis;Rio De Janeiro;https://www.dnb.com/business-directory/company-profiles.roaster_industria_e_comercio_de_cafe_ltda.12cc2b8a47cdb9ebfc2b579bf39779fb.html;ROASTER INDUSTRIA E COMERCIO DE CAFE LTDA is located in TERESOPOLIS, RIO DE JANEIRO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
890;Irmaos Toso Ltda;0.43;Baixo Guandu;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.irmaos_toso_ltda.f0b3a6eb2c3e03e47af667e3cb71e970.html;IRMAOS TOSO LTDA is located in BAIXO GUANDU, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
891;Industria De Torrefacao De Cafe Sao Paulo Ltda;0.43;Frei Paulo;Sergipe;https://www.dnb.com/business-directory/company-profiles.industria_de_torrefacao_de_cafe_sao_paulo_ltda.79d58f0715495fe8aa4956cf5d6be804.html;INDUSTRIA DE TORREFACAO DE CAFE SAO PAULO LTDA is located in FREI PAULO, SERGIPE, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
892;Industria E Comercio De Cafe Mirna Ltda;0.43;Santa Maria Da Vitoria;Bahia;https://www.dnb.com/business-directory/company-profiles.industria_e_comercio_de_cafe_mirna_ltda.e48cb4bd23dde4743adebacba8e19766.html;INDUSTRIA E COMERCIO DE CAFE MIRNA LTDA is located in SANTA MARIA DA VITORIA, BAHIA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
893;Agro-Industria Nagai Ltda;0.43;Iranduba;Amazonas;https://www.dnb.com/business-directory/company-profiles.agro-industria_nagai_ltda.89f9e90087b95b952756de6bb062aa7f.html;AGRO-INDUSTRIA NAGAI LTDA is located in IRANDUBA, AMAZONAS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
894;Mix Industria Comercio De Cafe Eireli;0.43;Ananindeua;Para;https://www.dnb.com/business-directory/company-profiles.mix_industria_comercio_de_cafe_eireli.0858f9bc4314254743d6b934b7a57e84.html;MIX INDUSTRIA COMERCIO DE CAFE EIRELI is located in ANANINDEUA, PARA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
895;Industria E Comercio De Cafe Morumbi Ltda;0.43;Juazeiro Do Norte;Ceara;https://www.dnb.com/business-directory/company-profiles.industria_e_comercio_de_cafe_morumbi_ltda.84593c1aec562ef1358d9e9c9bf141db.html;INDUSTRIA E COMERCIO DE CAFE MORUMBI LTDA is located in JUAZEIRO DO NORTE, CEARA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
896;Industria E Comercio De Cafe Bolsao Ltda;0.43;Paranaiba;Mato Grosso Do Sul;https://www.dnb.com/business-directory/company-profiles.industria_e_comercio_de_cafe_bolsao_ltda.d233cc51cd98b93a34c6b82e876b33a7.html;INDUSTRIA E COMERCIO DE CAFE BOLSAO LTDA is located in PARANAIBA, MATO GROSSO DO SUL, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
